,Predicted Labels,Actual Labels
661,1,1
122,0,0
113,0,0
14,1,1
529,0,0
103,0,0
338,1,1
588,1,1
395,0,0
204,0,0
31,1,1
546,1,1
278,0,0
593,0,0
737,0,0
202,0,0
175,1,1
55,0,0
479,0,0
365,0,0
417,1,1
577,0,1
172,0,0
352,0,0
27,0,0
605,0,0
239,0,0
744,1,0
79,0,0
496,0,0
285,0,0
422,0,0
640,0,0
374,0,0
385,0,0
404,1,1
648,0,1
500,0,0
575,0,0
40,1,0
181,0,0
354,0,0
563,0,0
399,1,1
8,1,1
145,0,0
271,0,0
419,0,1
198,0,1
683,0,1
578,0,0
142,0,0
215,1,1
756,0,0
452,0,0
75,0,0
1,0,0
303,1,1
451,0,1
706,0,1
662,1,1
364,0,0
626,0,0
266,1,1
317,1,1
408,1,1
355,1,1
272,0,0
250,0,0
403,0,0
624,0,0
222,0,0
253,0,0
622,1,0
235,1,1
351,0,0
672,0,0
499,1,0
720,0,0
556,0,0
583,0,0
150,0,0
85,0,0
526,0,0
735,0,0
350,0,0
242,0,1
18,0,0
236,1,1
623,0,0
602,0,0
251,0,0
313,0,0
50,0,0
548,1,0
572,0,0
638,0,1
608,1,0
39,1,1
406,0,1
162,0,0
156,0,0
10,0,0
68,0,0
267,1,0
443,0,1
736,0,0
471,0,0
316,0,0
2,1,1
760,0,0
214,0,1
586,1,1
187,0,1
415,1,1
283,1,1
279,0,0
258,1,0
249,0,0
740,1,1
725,0,0
362,0,0
318,0,0
582,0,0
413,0,0
694,0,0
698,0,0
386,0,1
456,0,0
728,0,0
71,0,0
49,0,0
210,0,0
409,1,1
503,0,0
37,0,1
687,0,0
48,0,1
261,1,1
653,0,0
331,0,0
568,1,0
196,0,0
76,0,0
64,0,1
671,0,0
52,0,0
310,0,0
416,0,0
476,0,1
482,0,0
230,1,1
527,0,0
380,0,0
